ID,RANK,SYMBOL,NAME,SUPPLY,MAXSUPPLY,MARKETCAPUSD,VOLUMNUSD24HRS,PRICEUSD,CHANGEDPERCENT24HRS,VWAP24HRS,EXPLORER
maker,61,MKR,Maker,977631.0369508900000000,1005577.0000000000000000,610018030.2909322647164798,3622508.4998099421441420,623.9757201177888876,-0.3002743248142722,622.7734150799528644,https://etherscan.io/token/Maker
synthetix-network-token,62,SNX,Synthetix,233716733.4900000000000000,212424133.0000000000000000,554571808.7444648911669077,7396147.2899370064095617,2.3728374107547300,-0.0662868782517766,2.3586900050224573,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
klaytn,63,KLAY,Klaytn,3094961001.8420672000000000,,545022622.7405558893655508,3821622.1629934130266134,0.1760999968710972,-2.6441000676516492,0.1768968241530179,https://scope.klaytn.com/blocks
casper,64,CSPR,Casper,11027543425.0000000000000000,,533740050.8038419824613700,1403560.8875023800163195,0.0484006301524804,-2.9609359267312448,0.0494934873534371,https://casperstats.io/
frax-share,65,FXS,Frax Share,72141875.3978385300000000,,511882233.4232360689419250,636252.9447139806350677,7.0954938529165651,-1.7211927900625591,7.1280993028460591,https://etherscan.io/token/0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0
mina,66,MINA,Mina,904398960.8400393000000000,,507027398.3163709886750413,5632341.1406343822138346,0.5606235967425539,-3.6264398316614032,0.5694874604780037,https://minaexplorer.com/
injective-protocol,67,INJ,Injective,73005554.3300000000000000,100000000.0000000000000000,504618558.4344535834283237,25208067.2150445215242988,6.9120570765544050,-1.8673287671192606,6.8821015541359174,https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30
ecash,68,XEC,eCash,19394017173303.0000000000000000,21000000000000.0000000000000000,502157119.7502060352350774,1135702.7453998045905809,0.0000258923726458,-0.8921727943533708,0.0000257157112655,https://explorer.bitcoinabc.org/
iota,69,MIOTA,IOTA,2779530283.0000000000000000,2779530283.0000000000000000,500252649.2076753949645907,2809145.3105545361233227,0.1799774056311929,1.5094110110775916,0.1762066121549329,https://thetangle.org/
dash,70,DASH,Dash,11286362.8218539400000000,18900000.0000000000000000,498504916.4124929408815549,29649686.4624098406816353,44.1687835382388200,-1.7188767541467800,43.6547643046896804,https://explorer.dash.org
gatetoken,71,GT,GateToken,97787093.7551627000000000,,480567258.6954134087462674,303653.6766618139824108,4.9144241866789472,-0.4598846667950171,4.9040908511348772,
huobi-token,72,HT,Huobi Token,162233844.0000000000000000,500000000.0000000000000000,476310980.2870721707266648,15592855.6423293377830061,2.9359532422043342,1.0096440001870591,2.9237312869807149,https://etherscan.io/token/0x6f259637dcd74c767781e37bc6133cd6a68aa161
trust-wallet-token,73,TWT,Trust Wallet Token,416649900.0000000000000000,1000000000.0000000000000000,446640259.8448670202273000,1677193.8040896120052561,1.0719797600932270,-1.5971468942839186,1.0692744828867008,https://explorer.binance.org/asset/TWT-8C2
fei-protocol,74,FEI,Fei Protocol,424996177.7889055600000000,,411389914.0273101660146020,451178.2274324043786609,0.9679849738122737,7.5202203472584582,0.9628778609046101,https://etherscan.io/token/0x956F47F50A910163D8BF957Cf5846D573E7f87CA
xinfin-network,75,XDC,XinFin Network,12293293518.5500000000000000,,398990832.0373255093972588,1075594.1998417977246073,0.0324559754011622,1.9543192954664549,0.0322299330089857,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
loopring,76,LRC,Loopring,1331430934.7522666000000000,1374513896.0000000000000000,388019409.9006872275933641,2553276.8941658722759271,0.2914303699672445,-2.0783689669758185,0.2923422414110217,https://etherscan.io/token/0xEF68e7C694F40c8202821eDF525dE3782458639f
pancakeswap,77,CAKE,PancakeSwap,209557428.6183616200000000,750000000.0000000000000000,378312937.0842446809152128,4149953.6540127398276542,1.8052948042859147,-1.9766480862771291,1.8143560862723915,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
wootrade,78,WOO,WOO Network,1694310805.0184430000000000,,372312475.5786150529156057,1700505.2734860275975401,0.2197427263497634,-3.0370642012448687,0.2239814456948951,https://etherscan.io/token/0x4691937a7508860f876c9c0a2a617e7d9e945d4b
zilliqa,79,ZIL,Zilliqa,15867699446.7699000000000000,21000000000.0000000000000000,368183904.5528415755921461,7228919.8755192215636202,0.0232033576000074,-3.6874542036101684,0.0235059673182561,https://etherscan.io/token/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
thorchain,80,RUNE,THORChain,329138015.0000000000000000,500000000.0000000000000000,365274251.7391380381667835,4651808.8139343367164742,1.1097905288732389,-2.9325871198577389,1.1214041028599509,https://explorer.binance.org/asset/RUNE-B1A
nexo,81,NEXO,Nexo,560000011.0000000000000000,1000000000.0000000000000000,361063069.9007179543080102,318066.4062717215539059,0.6447554693007282,-1.1139381212177571,0.6730948632789891,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
mask-network,82,MASK,Mask Network,80125000.0000000000000000,100000000.0000000000000000,347834988.0295669203000000,29096163.2613351244649524,4.3411542967808664,-5.3602194601519215,4.5239521514725942,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074
convex-finance,83,CVX,Convex Finance,77346251.3692636600000000,100000000.0000000000000000,344924028.1981229398498051,212523.5619563460926574,4.4594795751819851,-3.2365683755474921,4.5101362808568954,https://etherscan.io/token/0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
enjin-coin,84,ENJ,Enjin Coin,1000000000.0000000000000000,1000000000.0000000000000000,338953645.2120961000000000,2523499.2751223953150818,0.3389536452120961,-1.4782349863965989,0.3399964841499848,https://etherscan.io/token/0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
ftx-token,85,FTT,FTX Token,328895103.8132070000000000,352170015.0000000000000000,325884991.0735922279052559,2089846.0945693575130525,0.9908478031301909,-4.6443782343388863,1.0206606400688914,https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
singularitynet,86,AGIX,SingularityNET,1215068775.2620106000000000,2000000000.0000000000000000,325512029.5458177869118299,4325780.9050224259697037,0.2678959711359764,-5.4485689171499998,0.2782444885424071,https://etherscan.io/token/0x8eb24319393716668d768dcec29356ae9cffe285
basic-attention-token,87,BAT,Basic Attention Token,1489138514.4163349000000000,1500000000.0000000000000000,324550082.5066640731539729,4751545.0805824933117259,0.2179448582953822,-1.2162371850993057,0.2178898978875497,https://etherscan.io/token/Bat
dydx,88,DYDX,dYdX,156256174.0000000000000000,1000000000.0000000000000000,323471804.2254157131198890,13875302.1576352092297743,2.0701377484477235,-3.8680775783444784,2.0848711369858326,
1inch,89,1INCH,1inch Network,816009222.0972039000000000,,322389443.2264076906557162,4259608.3993527130230428,0.3950806369538852,-1.6702728614848392,0.3957557079784451,https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302
oasis-network,90,ROSE,Oasis Network,5725718533.0000000000000000,10000000000.0000000000000000,295330877.6876654325454053,4201813.7526650148580718,0.0515797058457441,-2.2758243192778873,0.0518161390331874,https://www.oasisscan.com/
gnosis-gno,91,GNO,Gnosis,2589588.0000000000000000,3000000.0000000000000000,294894584.5096030454835660,655849.0383693227578652,113.8770277393944695,-1.8254940145284756,114.7748091631517727,https://etherscan.io/token/Gnosis
nem,92,XEM,NEM,8999999999.0000000000000000,8999999999.0000000000000000,288854685.9004814348963804,4727842.3937053365713488,0.0320949651036196,-2.3738437725156268,0.0323970781669824,http://nembex.nem.ninja/
holo,93,HOT,Holo,173467411323.5712000000000000,,281779908.8413673353051027,1008099.3613284133975744,0.0016243968056672,-2.7461729171729998,0.0016365268667484,https://etherscan.io/token/0x6c6ee5e31d828de241282b9606c8e98ea48526e2
ravencoin,94,RVN,Ravencoin,12557072325.6776160000000000,21000000000.0000000000000000,271263713.6561846563610567,2212350.8684692101699836,0.0216024648597018,-1.6807075027539932,0.0217602042491664,https://ravencoin.network/
qtum,95,QTUM,Qtum,104666069.5000000000000000,107822406.0000000000000000,268445937.8843515142686420,5249772.2227950000785016,2.5647847403341301,-2.3527434277620912,2.5788172450188766,https://qtum.info/
balancer,96,BAL,Balancer,49572909.8012356500000000,96150704.0000000000000000,263490937.9938633419231578,980083.6936695456684837,5.3152203300217731,-1.0901151568450700,5.3367478811820223,https://etherscan.io/token/0xba100000625a3754423978a60c9317c58a424e3D
theta-fuel,97,TFUEL,Theta Fuel,6144767310.0000000000000000,,257885655.6724249638961410,711876.0877765957883781,0.0419683354409111,-3.7625274988467803,0.0426316523430807,https://explorer.thetatoken.org/
compound,98,COMP,Compound,7460510.2778327000000000,10000000.0000000000000000,257527143.1614801782557022,2727037.6100541367664220,34.5187036236203088,-2.7740674310322368,34.7625929303207077,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888
celo,99,CELO,Celo,498369748.0000000000000000,1000000000.0000000000000000,255606366.9385819106702116,1023444.3980064439749460,0.5128849974629317,-2.8794819608421367,0.5181104206781994,https://explorer.celo.org/blocks
audius,100,AUDIO,Audius,1045289093.0000000000000000,,255176237.2545940815596741,2056227.1612541239965305,0.2441202524387137,-0.2256495672171907,0.2394912324498180,https://etherscan.io/token/0x18aaa7115705e8be94bffebde57af9bfc265b998
